date,NO_MUNICIPIO,DS_ATIVIDADE_PROFISSIONAL,POPULACAO_MENSAL,GROWTH_PCT,lag1,rolling3,time_index,PROFISSIONAIS_POR_1000
2025-06-01,PRESIDENTE PRUDENTE,MEDICO PEDIATRA,234706.0,0.0,0.5709270321167759,0.5652461661255641,34,0.5751876816101846
2025-07-01,PRESIDENTE PRUDENTE,MEDICO PEDIATRA,234706.0,0.0,0.5751876816101846,0.5766078981079876,35,0.5837089805970022
2025-04-01,PRESIDENTE PRUDENTE,MEDICO PNEUMOLOGISTA,234706.0,0.0,0.0426064949340877,0.0426064949340877,33,0.0426064949340877
2025-06-01,PRESIDENTE PRUDENTE,MEDICO PNEUMOLOGISTA,234706.0,0.0,0.0426064949340877,0.04402671143189063,34,0.0468671444274965
2025-07-01,PRESIDENTE PRUDENTE,MEDICO PNEUMOLOGISTA,234706.0,0.0,0.0468671444274965,0.04544692792969357,35,0.0468671444274965
2025-04-01,PRESIDENTE PRUDENTE,MEDICO PSIQUIATRA,234706.0,0.0,0.1789472787231685,0.1832079282165773,33,0.1874685777099861
2025-06-01,PRESIDENTE PRUDENTE,MEDICO PSIQUIATRA,234706.0,0.0,0.1874685777099861,0.1832079282165773,34,0.1832079282165773
2025-07-01,PRESIDENTE PRUDENTE,MEDICO PSIQUIATRA,234706.0,0.0,0.1832079282165773,0.18462814471438024,35,0.1832079282165773
2025-04-01,PRESIDENTE PRUDENTE,MEDICO RADIOLOGISTA INTERVENCIONISTA,234706.0,0.0,0.0170425979736351,0.0170425979736351,33,0.0170425979736351
2025-06-01,PRESIDENTE PRUDENTE,MEDICO RADIOLOGISTA INTERVENCIONISTA,234706.0,0.0,0.0170425979736351,0.0170425979736351,34,0.0170425979736351
2025-07-01,PRESIDENTE PRUDENTE,MEDICO RADIOLOGISTA INTERVENCIONISTA,234706.0,0.0,0.0170425979736351,0.0170425979736351,35,0.0170425979736351
2025-04-01,PRESIDENTE PRUDENTE,MEDICO RADIOTERAPEUTA,234706.0,0.0,0.0255638969604526,0.0255638969604526,33,0.0255638969604526
2025-06-01,PRESIDENTE PRUDENTE,MEDICO RADIOTERAPEUTA,234706.0,0.0,0.0255638969604526,0.0255638969604526,34,0.0255638969604526
